"Employee_ID","Job_Role","Work_Life_Balance_Rating"
"EMP1011","Sales","5"
"EMP1013","Software Engineer","3"
"EMP1014","Software Engineer","1"
"EMP1021","Project Manager","2"
"EMP1026","Marketing","4"
"EMP1028","Data Scientist","3"
"EMP1031","HR","4"
"EMP1032","Software Engineer","4"
"EMP1035","Project Manager","4"
"EMP1040","Software Engineer","3"
"EMP1041","HR","1"
"EMP1046","Sales","1"
"EMP1047","Designer","2"
"EMP1050","Designer","1"
"EMP1053","Project Manager","3"
"EMP1055","Sales","4"
"EMP1056","Data Scientist","1"
"EMP1057","Sales","1"
"EMP1058","Software Engineer","4"
"EMP1059","HR","4"
"EMP1065","Data Scientist","5"
"EMP1070","Software Engineer","4"
"EMP1072","Marketing","1"
"EMP1074","Software Engineer","3"
"EMP1082","Designer","1"
"EMP1083","Sales","2"
"EMP1086","Sales","2"
"EMP1088","Data Scientist","1"
"EMP1090","Marketing","1"
"EMP1091","Designer","4"
"EMP1093","Marketing","3"
"EMP1095","Data Scientist","1"
"EMP1100","HR","3"
"EMP1101","Marketing","5"
"EMP1106","Sales","3"
"EMP1107","Data Scientist","4"
"EMP1112","Project Manager","4"
"EMP1113","Data Scientist","1"
"EMP1114","Designer","3"
"EMP1118","Sales","1"
"EMP1119","Project Manager","2"
"EMP1132","Designer","3"
"EMP1133","Designer","2"
"EMP1140","Marketing","5"
"EMP1141","Project Manager","2"
"EMP1144","Sales","5"
"EMP1148","Designer","3"
"EMP1150","Software Engineer","5"
"EMP1155","Data Scientist","2"
"EMP1156","HR","2"
"EMP1159","Data Scientist","2"
"EMP1161","Sales","1"
"EMP1166","Software Engineer","1"
"EMP1168","Marketing","2"
"EMP1172","Project Manager","3"
"EMP1175","Designer","2"
"EMP1176","HR","1"
"EMP1178","Data Scientist","5"
"EMP1182","Marketing","1"
"EMP1185","Sales","1"
"EMP1186","HR","5"
"EMP1188","Software Engineer","3"
"EMP1189","Data Scientist","4"
"EMP1191","Data Scientist","5"
"EMP1192","Designer","1"
"EMP1196","Project Manager","5"
"EMP1203","Software Engineer","1"
"EMP1204","Project Manager","2"
"EMP1205","Project Manager","4"
"EMP1208","Sales","5"
"EMP1214","Marketing","5"
"EMP1218","Marketing","2"
"EMP1221","Marketing","5"
"EMP1224","Project Manager","1"
"EMP1233","Software Engineer","1"
"EMP1237","Data Scientist","4"
"EMP1239","Data Scientist","5"
"EMP1242","Data Scientist","5"
"EMP1244","Data Scientist","1"
"EMP1251","Designer","2"
"EMP1253","Software Engineer","4"
"EMP1261","Sales","5"
"EMP1262","HR","1"
"EMP1266","Data Scientist","5"
"EMP1267","Data Scientist","2"
"EMP1271","Project Manager","4"
"EMP1274","Project Manager","1"
"EMP1275","Software Engineer","2"
"EMP1276","Designer","4"
"EMP1277","Project Manager","3"
"EMP1278","Project Manager","1"
"EMP1281","Data Scientist","1"
"EMP1282","Marketing","2"
"EMP1285","Project Manager","3"
"EMP1286","Marketing","1"
"EMP1289","Project Manager","1"
"EMP1295","Designer","4"
"EMP1303","Sales","1"
"EMP1312","Designer","2"
"EMP1313","Marketing","4"
"EMP1316","Designer","3"
"EMP1322","Project Manager","3"
"EMP1323","HR","5"
"EMP1326","Marketing","4"
"EMP1327","Marketing","5"
"EMP1331","Software Engineer","4"
"EMP1333","Data Scientist","5"
"EMP1334","Project Manager","3"
"EMP1335","Designer","2"
"EMP1337","Project Manager","3"
"EMP1338","Designer","2"
"EMP1339","Designer","3"
"EMP1340","Project Manager","2"
"EMP1343","Software Engineer","3"
"EMP1344","Project Manager","2"
"EMP1347","Software Engineer","1"
"EMP1353","Project Manager","3"
"EMP1354","Data Scientist","3"
"EMP1358","Sales","5"
"EMP1360","HR","2"
"EMP1361","HR","1"
"EMP1362","Data Scientist","2"
"EMP1363","HR","4"
"EMP1365","HR","1"
"EMP1367","Software Engineer","4"
"EMP1368","Data Scientist","3"
"EMP1374","Designer","5"
"EMP1377","Sales","4"
"EMP1378","Sales","2"
"EMP1383","Designer","2"
"EMP1385","HR","3"
"EMP1386","Sales","5"
"EMP1387","HR","3"
"EMP1390","Designer","1"
"EMP1392","Sales","1"
"EMP1398","Sales","5"
"EMP1401","Designer","5"
"EMP1407","Sales","3"
"EMP1409","Marketing","2"
"EMP1411","Designer","3"
"EMP1412","Sales","5"
"EMP1414","Data Scientist","2"
"EMP1417","Marketing","5"
"EMP1418","Software Engineer","5"
"EMP1420","Data Scientist","3"
"EMP1422","Data Scientist","5"
"EMP1423","Marketing","4"
"EMP1424","Project Manager","4"
"EMP1427","Sales","3"
"EMP1430","Software Engineer","5"
"EMP1431","Marketing","4"
"EMP1432","Sales","3"
"EMP1433","Project Manager","4"
"EMP1434","Project Manager","1"
"EMP1435","Marketing","2"
"EMP1442","HR","3"
"EMP1445","Data Scientist","3"
"EMP1449","Sales","1"
"EMP1453","Sales","1"
"EMP1456","Data Scientist","1"
"EMP1459","Project Manager","4"
"EMP1460","Project Manager","1"
"EMP1461","Project Manager","4"
"EMP1463","Project Manager","4"
"EMP1464","Software Engineer","2"
"EMP1465","HR","3"
"EMP1466","Designer","1"
"EMP1468","Data Scientist","2"
"EMP1471","Software Engineer","5"
"EMP1472","Project Manager","1"
"EMP1475","Sales","3"
"EMP1476","HR","3"
"EMP1482","Marketing","2"
"EMP1483","Software Engineer","3"
"EMP1490","HR","5"
"EMP1492","HR","5"
"EMP1496","HR","1"
"EMP1499","HR","2"
"EMP1508","Designer","5"
"EMP1509","Software Engineer","3"
"EMP1510","Software Engineer","3"
"EMP1513","Marketing","4"
"EMP1516","Data Scientist","1"
"EMP1518","Data Scientist","3"
"EMP1519","HR","3"
"EMP1520","Software Engineer","4"
"EMP1523","Marketing","1"
"EMP1525","Data Scientist","3"
"EMP1526","Software Engineer","2"
"EMP1528","Designer","4"
"EMP1530","Software Engineer","4"
"EMP1532","HR","3"
"EMP1533","Designer","5"
"EMP1534","Marketing","4"
"EMP1539","Data Scientist","2"
"EMP1542","HR","3"
"EMP1543","Designer","3"
"EMP1544","Sales","2"
"EMP1545","Project Manager","2"
"EMP1550","Project Manager","3"
"EMP1551","Data Scientist","5"
"EMP1554","Software Engineer","4"
"EMP1555","Data Scientist","3"
"EMP1558","Software Engineer","3"
"EMP1565","HR","5"
"EMP1567","Marketing","2"
"EMP1568","Project Manager","3"
"EMP1573","Sales","3"
"EMP1577","Designer","5"
"EMP1579","Project Manager","4"
"EMP1582","Sales","2"
"EMP1584","Software Engineer","5"
"EMP1585","Marketing","1"
"EMP1586","Designer","2"
"EMP1587","HR","2"
"EMP1589","Sales","1"
"EMP1591","Project Manager","4"
"EMP1601","Sales","5"
"EMP1602","Marketing","3"
"EMP1603","HR","1"
"EMP1609","Designer","5"
"EMP1610","Data Scientist","3"
"EMP1611","Project Manager","4"
"EMP1612","HR","5"
"EMP1621","Sales","3"
"EMP1622","Data Scientist","5"
"EMP1623","HR","2"
"EMP1630","Data Scientist","5"
"EMP1631","Project Manager","4"
"EMP1635","Software Engineer","4"
"EMP1640","Software Engineer","3"
"EMP1642","Data Scientist","1"
"EMP1646","Project Manager","1"
"EMP1648","Software Engineer","5"
"EMP1650","Data Scientist","2"
"EMP1655","HR","3"
"EMP1658","Designer","1"
"EMP1666","Designer","4"
"EMP1669","Data Scientist","5"
"EMP1673","Project Manager","4"
"EMP1686","Software Engineer","5"
"EMP1690","Sales","5"
"EMP1693","Software Engineer","5"
"EMP1696","Project Manager","1"
"EMP1698","Sales","3"
"EMP1700","Project Manager","5"
"EMP1702","HR","2"
"EMP1703","Software Engineer","4"
"EMP1704","Project Manager","2"
"EMP1706","Data Scientist","3"
"EMP1709","Software Engineer","5"
"EMP1710","Sales","1"
"EMP1712","Software Engineer","5"
"EMP1718","Designer","1"
"EMP1720","HR","2"
"EMP1723","Sales","3"
"EMP1727","Data Scientist","3"
"EMP1729","Software Engineer","3"
"EMP1731","Software Engineer","5"
"EMP1737","HR","3"
"EMP1739","Marketing","3"
"EMP1740","Project Manager","4"
"EMP1749","HR","4"
"EMP1753","Software Engineer","5"
"EMP1760","Marketing","2"
"EMP1762","Project Manager","2"
"EMP1764","HR","1"
"EMP1766","HR","1"
"EMP1773","Sales","4"
"EMP1775","Marketing","5"
"EMP1780","Sales","3"
"EMP1781","HR","1"
"EMP1785","Data Scientist","3"
"EMP1788","Software Engineer","1"
"EMP1793","Data Scientist","4"
"EMP1794","HR","3"
"EMP1795","Sales","2"
"EMP1797","Project Manager","1"
"EMP1801","HR","3"
"EMP1802","Marketing","2"
"EMP1807","Software Engineer","5"
"EMP1808","Designer","4"
"EMP1823","Data Scientist","4"
"EMP1825","Project Manager","2"
"EMP1827","Designer","1"
"EMP1828","Marketing","1"
"EMP1831","Sales","3"
"EMP1832","Marketing","2"
"EMP1833","Designer","2"
"EMP1834","Marketing","2"
"EMP1837","Sales","5"
"EMP1840","Sales","4"
"EMP1841","Designer","4"
"EMP1847","Marketing","2"
"EMP1848","Project Manager","5"
"EMP1853","Marketing","2"
"EMP1854","Software Engineer","1"
"EMP1857","Data Scientist","5"
"EMP1860","Marketing","2"
"EMP1862","Designer","5"
"EMP1863","Marketing","5"
"EMP1864","Project Manager","2"
"EMP1866","Sales","2"
"EMP1868","Designer","2"
"EMP1872","Sales","4"
"EMP1873","Marketing","2"
"EMP1877","HR","5"
"EMP1882","Marketing","3"
"EMP1883","Software Engineer","2"
"EMP1884","Marketing","3"
"EMP1886","Sales","5"
"EMP1887","Data Scientist","5"
"EMP1897","Sales","2"
"EMP1900","Software Engineer","4"
"EMP1906","Marketing","5"
"EMP1909","Data Scientist","3"
"EMP1912","Marketing","2"
"EMP1913","Marketing","2"
"EMP1914","Software Engineer","2"
"EMP1915","Software Engineer","2"
"EMP1916","HR","5"
"EMP1917","Marketing","3"
"EMP1919","Marketing","1"
"EMP1920","Data Scientist","2"
"EMP1925","HR","1"
"EMP1927","Marketing","4"
"EMP1932","Data Scientist","1"
"EMP1935","Marketing","5"
"EMP1938","Designer","1"
"EMP1943","Software Engineer","4"
"EMP1945","HR","5"
"EMP1947","Data Scientist","3"
"EMP1948","Project Manager","4"
"EMP1951","Designer","1"
"EMP1960","Sales","5"
"EMP1968","Data Scientist","3"
"EMP1969","Designer","1"
"EMP1971","Data Scientist","3"
"EMP1972","Marketing","1"
"EMP1975","HR","3"
"EMP1977","Project Manager","1"
"EMP1979","Data Scientist","5"
"EMP1982","Marketing","1"
"EMP1993","Sales","5"
"EMP1996","Sales","1"
"EMP2000","Designer","2"
"EMP2002","HR","4"
"EMP2003","Sales","3"
"EMP2005","HR","4"
"EMP2007","Software Engineer","1"
"EMP2008","Software Engineer","3"
"EMP2009","Data Scientist","2"
"EMP2011","Software Engineer","5"
"EMP2012","Designer","3"
"EMP2013","Marketing","4"
"EMP2014","Software Engineer","5"
"EMP2016","Software Engineer","1"
"EMP2017","Sales","5"
"EMP2019","Software Engineer","3"
"EMP2026","Designer","1"
"EMP2035","Marketing","1"
"EMP2037","Data Scientist","4"
"EMP2038","Project Manager","1"
"EMP2039","HR","5"
"EMP2044","Software Engineer","1"
"EMP2045","Sales","2"
"EMP2049","HR","3"
"EMP2050","HR","1"
"EMP2051","HR","5"
"EMP2053","HR","1"
"EMP2054","Software Engineer","4"
"EMP2059","Designer","3"
"EMP2061","HR","4"
"EMP2063","Marketing","3"
"EMP2066","HR","4"
"EMP2067","HR","1"
"EMP2071","Data Scientist","5"
"EMP2072","Project Manager","2"
"EMP2078","Marketing","2"
"EMP2081","HR","3"
"EMP2082","Marketing","3"
"EMP2083","Software Engineer","2"
"EMP2095","Sales","3"
"EMP2103","Software Engineer","5"
"EMP2104","HR","3"
"EMP2105","Software Engineer","5"
"EMP2106","Sales","1"
"EMP2111","Designer","3"
"EMP2115","Project Manager","1"
"EMP2119","Project Manager","1"
"EMP2121","HR","2"
"EMP2122","Sales","3"
"EMP2123","HR","5"
"EMP2125","Marketing","5"
"EMP2126","Data Scientist","3"
"EMP2130","HR","4"
"EMP2132","Software Engineer","3"
"EMP2137","Designer","4"
"EMP2141","Software Engineer","4"
"EMP2142","Data Scientist","1"
"EMP2149","Designer","4"
"EMP2156","Project Manager","5"
"EMP2157","Data Scientist","3"
"EMP2158","Project Manager","4"
"EMP2160","Designer","3"
"EMP2161","Designer","3"
"EMP2162","Sales","1"
"EMP2163","Software Engineer","3"
"EMP2165","HR","1"
"EMP2166","Designer","4"
"EMP2167","Designer","2"
"EMP2169","Designer","4"
"EMP2172","Sales","3"
"EMP2173","HR","4"
"EMP2181","Software Engineer","4"
"EMP2182","Data Scientist","4"
"EMP2183","Sales","5"
"EMP2188","Project Manager","5"
"EMP2189","Marketing","3"
"EMP2193","Marketing","2"
"EMP2199","Project Manager","5"
"EMP2205","Software Engineer","5"
"EMP2206","Designer","3"
"EMP2209","Designer","4"
"EMP2210","HR","2"
"EMP2211","Designer","1"
"EMP2213","HR","2"
"EMP2216","Sales","3"
"EMP2217","Marketing","1"
"EMP2223","Sales","5"
"EMP2224","Sales","1"
"EMP2225","HR","4"
"EMP2233","Data Scientist","3"
"EMP2236","Designer","5"
"EMP2239","Marketing","3"
"EMP2241","Sales","2"
"EMP2245","HR","5"
"EMP2246","Software Engineer","1"
"EMP2251","Designer","1"
"EMP2253","Designer","1"
"EMP2255","Sales","3"
"EMP2256","Designer","5"
"EMP2258","Project Manager","1"
"EMP2259","HR","1"
"EMP2260","Software Engineer","2"
"EMP2269","Sales","4"
"EMP2270","Marketing","1"
"EMP2276","Data Scientist","4"
"EMP2285","Designer","2"
"EMP2287","Data Scientist","4"
"EMP2292","Sales","3"
"EMP2293","Data Scientist","5"
"EMP2295","Marketing","1"
"EMP2304","Designer","5"
"EMP2305","Marketing","1"
"EMP2306","Sales","5"
"EMP2307","Data Scientist","2"
"EMP2310","Project Manager","3"
"EMP2319","Software Engineer","5"
"EMP2321","Sales","1"
"EMP2322","Software Engineer","1"
"EMP2324","HR","2"
"EMP2328","Software Engineer","5"
"EMP2329","Sales","1"
"EMP2330","Data Scientist","2"
"EMP2332","HR","3"
"EMP2333","Marketing","1"
"EMP2334","HR","2"
"EMP2335","Designer","2"
"EMP2338","Sales","4"
"EMP2339","Software Engineer","2"
"EMP2350","Marketing","3"
"EMP2351","HR","5"
"EMP2352","Marketing","2"
"EMP2354","Marketing","2"
"EMP2358","Software Engineer","5"
"EMP2359","Designer","5"
"EMP2360","Designer","1"
"EMP2361","HR","5"
"EMP2365","HR","4"
"EMP2369","Data Scientist","3"
"EMP2370","HR","1"
"EMP2379","Sales","1"
"EMP2381","HR","3"
"EMP2382","Sales","5"
"EMP2385","Project Manager","4"
"EMP2386","Sales","5"
"EMP2387","Designer","3"
"EMP2391","Project Manager","2"
"EMP2392","Project Manager","2"
"EMP2393","Software Engineer","4"
"EMP2395","Designer","5"
"EMP2396","Project Manager","3"
"EMP2397","HR","3"
"EMP2398","Project Manager","1"
"EMP2400","Software Engineer","5"
"EMP2401","HR","5"
"EMP2402","Marketing","4"
"EMP2407","Data Scientist","3"
"EMP2408","Data Scientist","3"
"EMP2409","Project Manager","5"
"EMP2412","HR","1"
"EMP2414","Marketing","3"
"EMP2415","Software Engineer","5"
"EMP2416","Sales","2"
"EMP2417","Designer","1"
"EMP2421","Data Scientist","3"
"EMP2425","Software Engineer","3"
"EMP2429","Designer","4"
"EMP2430","Sales","3"
"EMP2433","Marketing","2"
"EMP2434","Data Scientist","5"
"EMP2443","Sales","4"
"EMP2444","Designer","3"
"EMP2448","Data Scientist","1"
"EMP2449","Data Scientist","5"
"EMP2452","Sales","3"
"EMP2457","Project Manager","1"
"EMP2462","Data Scientist","2"
"EMP2463","Sales","2"
"EMP2465","Marketing","3"
"EMP2467","Data Scientist","4"
"EMP2468","HR","4"
"EMP2470","Project Manager","2"
"EMP2476","Software Engineer","2"
"EMP2477","Sales","5"
"EMP2479","HR","3"
"EMP2483","Project Manager","1"
"EMP2485","HR","2"
"EMP2488","Software Engineer","5"
"EMP2493","HR","2"
"EMP2494","Designer","5"
"EMP2499","Data Scientist","2"
"EMP2501","Project Manager","1"
"EMP2505","Designer","5"
"EMP2507","Sales","2"
"EMP2511","Sales","1"
"EMP2514","Marketing","1"
"EMP2515","HR","3"
"EMP2517","Software Engineer","4"
"EMP2518","Data Scientist","5"
"EMP2520","Software Engineer","4"
"EMP2521","Data Scientist","3"
"EMP2524","HR","5"
"EMP2526","Software Engineer","3"
"EMP2533","Data Scientist","4"
"EMP2534","Marketing","3"
"EMP2536","Software Engineer","2"
"EMP2538","HR","4"
"EMP2544","Data Scientist","2"
"EMP2550","Software Engineer","2"
"EMP2551","Designer","2"
"EMP2553","Designer","5"
"EMP2554","HR","3"
"EMP2556","Software Engineer","1"
"EMP2560","Designer","3"
"EMP2565","Designer","3"
"EMP2567","Sales","1"
"EMP2573","Project Manager","4"
"EMP2574","Data Scientist","1"
"EMP2578","HR","5"
"EMP2588","HR","3"
"EMP2591","HR","3"
"EMP2593","Sales","4"
"EMP2594","Project Manager","4"
"EMP2595","HR","3"
"EMP2596","HR","5"
"EMP2600","HR","2"
"EMP2601","Marketing","2"
"EMP2605","Sales","5"
"EMP2609","Project Manager","5"
"EMP2622","Project Manager","4"
